article_title	PMID	sentence	short_form	long_form
Fatty-Acid-Binding Protein 4 as a Novel Contributor to Mononuclear Cell Activation and Endothelial Cell Dysfunction in Atherosclerosis.	33287461	Mononuclear cells (MNCs) and human coronary endothelial cells (HCAECs) were used for in vitro study.	HCAECs	human coronary endothelial cells
Role of Cyclooxygenase-2 in Head and Neck Tumorigenesis.	33287464	The cyclooxygenase-2 (COX-2) is a potent enzyme that converts arachidonic acid to prostaglandins (PG), including PGE2, a key mediator of inflammation and angiogenesis.	COX-2	cyclooxygenase-2
Role of Cyclooxygenase-2 in Head and Neck Tumorigenesis.	33287464	The cyclooxygenase-2 (COX-2) is a potent enzyme that converts arachidonic acid to prostaglandins (PG), including PGE2, a key mediator of inflammation and angiogenesis.	PG	prostaglandins
Role of Cyclooxygenase-2 in Head and Neck Tumorigenesis.	33287464	Importantly, COX-2 is activated in response to inflammatory stimuli, where it is also believed to promote the development and progression of head and neck cancers (HNC).	HNC	head and neck cancers
Endoglin: An 'Accessory' Receptor Regulating Blood Cell Development and Inflammation.	33287465	Transforming growth factor-β1 (TGF-β1) is a pleiotropic factor sensed by most cells.	TGF-β1	Transforming growth factor-β1
Endoglin: An 'Accessory' Receptor Regulating Blood Cell Development and Inflammation.	33287465	The downstream signaling is mediated by type I and type II receptors and modulated by the 'accessory' receptor Endoglin also termed cluster of differentiation 105 (CD105).	CD105	cluster of differentiation 105
Endoglin: An 'Accessory' Receptor Regulating Blood Cell Development and Inflammation.	33287465	In turn, Endoglin has been figured out as the causative factor for diseases associated with vascular dysfunction like hereditary hemorrhagic telangiectasia-1 (HHT-1), pre-eclampsia, and intrauterine growth restriction (IUPR).	HHT-1	hemorrhagic telangiectasia-1
Phytochemical Profile and Antioxidant Activity of Aerial and Underground Parts of Salvia bulleyana Diels. Plants.	33287467	The qualitative and quantitative analyses were carried out by ultrahigh-performance liquid chromatography with electrospray ionization mass spectrometry detection (UHPLC-PDA-ESI-MS), and high-performance liquid chromatography with photodiode array (HPLC-PDA) detection.	HPLC-PDA	high-performance liquid chromatography with photodiode array
Phytochemical Profile and Antioxidant Activity of Aerial and Underground Parts of Salvia bulleyana Diels. Plants.	33287467	The extracts of S. bulleyana were also screened for their antioxidant activity using ferric ion (Fe3+) reducing antioxidant power (FRAP), 1,1-diphenyl-2-picrylhydrazyl	FRAP	Fe3+) reducing antioxidant power
Phytochemical Profile and Antioxidant Activity of Aerial and Underground Parts of Salvia bulleyana Diels. Plants.	33287467	(DPPH), diammonium 2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonate) cation (ABTS), superoxide radical anion (O2•-), and inhibition of lipid peroxidation assays.	ABTS	azino-bis(3-ethylbenzothiazoline-6-sulfonate) cation
Awareness and Use of Complementary and Alternative Medicine in Korean Lung Cancer Patients.	33287469	Complementary and alternative medicine (CAM) has been frequently used and its use continues to increase in lung cancer patients, despite insufficient scientific evidence.	CAM	Complementary and alternative medicine
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Objective: To investigate the protective effect of taurine (Tau) on hippocampus, substantia nigra neurons and microglia in paraquat (PQ) -induced Pakinson's disease-like mice.	Tau	taurine
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Objective: To investigate the protective effect of taurine (Tau) on hippocampus, substantia nigra neurons and microglia in paraquat (PQ) -induced Pakinson's disease-like mice.	PQ	paraquat
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Methods: In April 2019, the specific pathogen free (SPF) C57BL/6 mice (n=36) were randomly divided into control group (NaCl) , Tau control group (150 mg/kg) , PQ exposure group (10 mg/kg PQ group, 15 mg/kg PQ group) , Tau intervention group (Tau+10 mg/kg PQ group, Tau+15 mg/kg PQ group) , respectively.	SPF	specific pathogen free
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Methods: In April 2019, the specific pathogen free (SPF) C57BL/6 mice (n=36) were randomly divided into control group (NaCl) , Tau control group (150 mg/kg) , PQ exposure group (10 mg/kg PQ group, 15 mg/kg PQ group) , Tau intervention group (Tau+10 mg/kg PQ group, Tau+15 mg/kg PQ group) , respectively.	NaCl	n=36) were randomly divided into control group
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	IHC	Immunohistochemistry
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	NeuN	neuronal nuclei antigen
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	TH	tyrosine hydroxylase
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	α-syn	α-synuclein
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	Iba-1	ionized calcium bindingadaptor molecule-1
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	iNOS	inducible nitric oxide synthase
[Protective effects of taurine on neurons and microglia in Parkinson's disease-like mouse model induced by paraquat].	33287470	Immunohistochemistry (IHC) was used to test the levels of neuron marker neuronal nuclei antigen (NeuN) , substantia nigra dopaminergic neuron marker tyrosine hydroxylase (TH) , α-synuclein (α-syn) , microglia markers ionized calcium bindingadaptor molecule-1 (Iba-1) , inducible nitric oxide synthase (iNOS) and interleukin-1β (IL-1β) in mice substantia nigra.	IL-1β	interleukin-1β
[Expression of CYP2E1 in different brain regions during the formation of toxic cerebral edema induced by 1, 2-DCE in mice and its effect on cerebral edema formation].	33287471	Objective: To study the expression changes of cytochrome P-450 2E1 (CYP2E1) in different brain regions during 1, 2-dichloroethane (1, 2-DCE) exposure, and to explore the effect of CYP2E1 on the influence and effect of brain edema caused by 1, 2-DCE poisoning.	CYP2E1	cytochrome P-450 2E1
[Expression of CYP2E1 in different brain regions during the formation of toxic cerebral edema induced by 1, 2-DCE in mice and its effect on cerebral edema formation].	33287471	Objective: To study the expression changes of cytochrome P-450 2E1 (CYP2E1) in different brain regions during 1, 2-dichloroethane (1, 2-DCE) exposure, and to explore the effect of CYP2E1 on the influence and effect of brain edema caused by 1, 2-DCE poisoning.	1, 2-DCE	1, 2-dichloroethane
[Expression of CYP2E1 in different brain regions during the formation of toxic cerebral edema induced by 1, 2-DCE in mice and its effect on cerebral edema formation].	33287471	Histopathological observations were performed, and the kit method was used to detect malondialdehyde (MDA) , reduced glutathione (GSH) content and catalase (CAT) activity in different brain regions.	MDA	malondialdehyde
[Expression of CYP2E1 in different brain regions during the formation of toxic cerebral edema induced by 1, 2-DCE in mice and its effect on cerebral edema formation].	33287471	Histopathological observations were performed, and the kit method was used to detect malondialdehyde (MDA) , reduced glutathione (GSH) content and catalase (CAT) activity in different brain regions.	CAT	catalase
[Mechanism of nano-indium-tin oxide inducing pulmonary alveolar proteinosis in Sprague-Dawley rats].	33287472	Body weight was measured every week during exposure to observe the change in body weight; The rats were anesthetized and sacrificed by chloral hydrate after the exposure ended, and lung tissue and serum were collected; Hematoxylin-eosin staining and periodic acid-Schiff (PAS) staining were performed for lung tissue to observe pathological results; Inductively coupled plasma mass spectrometry was used to measure the serum level of indium; ELISA was used to measure the levels of surfactant protein A (SP-A) , surfactant protein D (SP-D) , and the type II alveolar cell surface antigen Krebs von den Lungen-6 (KL-6) in lung tissue and the serum level of granulocyte-macrophage colony-stimulating factor (GM-CSF) .	PAS	periodic acid-Schiff
[Mechanism of nano-indium-tin oxide inducing pulmonary alveolar proteinosis in Sprague-Dawley rats].	33287472	Body weight was measured every week during exposure to observe the change in body weight; The rats were anesthetized and sacrificed by chloral hydrate after the exposure ended, and lung tissue and serum were collected; Hematoxylin-eosin staining and periodic acid-Schiff (PAS) staining were performed for lung tissue to observe pathological results; Inductively coupled plasma mass spectrometry was used to measure the serum level of indium; ELISA was used to measure the levels of surfactant protein A (SP-A) , surfactant protein D (SP-D) , and the type II alveolar cell surface antigen Krebs von den Lungen-6 (KL-6) in lung tissue and the serum level of granulocyte-macrophage colony-stimulating factor (GM-CSF) .	SP-A	surfactant protein A
[Mechanism of nano-indium-tin oxide inducing pulmonary alveolar proteinosis in Sprague-Dawley rats].	33287472	Body weight was measured every week during exposure to observe the change in body weight; The rats were anesthetized and sacrificed by chloral hydrate after the exposure ended, and lung tissue and serum were collected; Hematoxylin-eosin staining and periodic acid-Schiff (PAS) staining were performed for lung tissue to observe pathological results; Inductively coupled plasma mass spectrometry was used to measure the serum level of indium; ELISA was used to measure the levels of surfactant protein A (SP-A) , surfactant protein D (SP-D) , and the type II alveolar cell surface antigen Krebs von den Lungen-6 (KL-6) in lung tissue and the serum level of granulocyte-macrophage colony-stimulating factor (GM-CSF) .	SP-D	surfactant protein D
[Mechanism of nano-indium-tin oxide inducing pulmonary alveolar proteinosis in Sprague-Dawley rats].	33287472	Body weight was measured every week during exposure to observe the change in body weight; The rats were anesthetized and sacrificed by chloral hydrate after the exposure ended, and lung tissue and serum were collected; Hematoxylin-eosin staining and periodic acid-Schiff (PAS) staining were performed for lung tissue to observe pathological results; Inductively coupled plasma mass spectrometry was used to measure the serum level of indium; ELISA was used to measure the levels of surfactant protein A (SP-A) , surfactant protein D (SP-D) , and the type II alveolar cell surface antigen Krebs von den Lungen-6 (KL-6) in lung tissue and the serum level of granulocyte-macrophage colony-stimulating factor (GM-CSF) .	KL-6	Krebs von den Lungen-6
[Mechanism of nano-indium-tin oxide inducing pulmonary alveolar proteinosis in Sprague-Dawley rats].	33287472	Body weight was measured every week during exposure to observe the change in body weight; The rats were anesthetized and sacrificed by chloral hydrate after the exposure ended, and lung tissue and serum were collected; Hematoxylin-eosin staining and periodic acid-Schiff (PAS) staining were performed for lung tissue to observe pathological results; Inductively coupled plasma mass spectrometry was used to measure the serum level of indium; ELISA was used to measure the levels of surfactant protein A (SP-A) , surfactant protein D (SP-D) , and the type II alveolar cell surface antigen Krebs von den Lungen-6 (KL-6) in lung tissue and the serum level of granulocyte-macrophage colony-stimulating factor (GM-CSF) .	GM-CSF	granulocyte-macrophage colony-stimulating factor
[Investigation of the relationship between occupational gasoline exposure and metabolic syndrome].	33287474	Objective: To explore the correlation between occupational gasoline exposure and metabolic syndrome (MS) .	MS	metabolic syndrome
[Investigation of the relationship between occupational gasoline exposure and metabolic syndrome].	33287474	Occupational health examination were performed to measure body mass, blood pressure and fasting plasma glucose (FPG) , triglycerides (TG) , high-density lipoprotein cholesterol (HDL-C) and other data.	FPG	fasting plasma glucose
[Investigation of the relationship between occupational gasoline exposure and metabolic syndrome].	33287474	Occupational health examination were performed to measure body mass, blood pressure and fasting plasma glucose (FPG) , triglycerides (TG) , high-density lipoprotein cholesterol (HDL-C) and other data.	TG	triglycerides
[Investigation of the relationship between occupational gasoline exposure and metabolic syndrome].	33287474	Occupational health examination were performed to measure body mass, blood pressure and fasting plasma glucose (FPG) , triglycerides (TG) , high-density lipoprotein cholesterol (HDL-C) and other data.	HDL-C	high-density lipoprotein cholesterol
[Investigation of the relationship between occupational gasoline exposure and metabolic syndrome].	33287474	The odds ratio (OR) of MS in the observation group was 1.988 times that in the control group (P<0.05) .	OR	odds ratio
[Study on the relationship between occupational stress and metabolic syndrome in operating room nursing staff of a third-class A hospital].	33287478	Objective: To explore the relationship between occupational stress and metabolic syndrome (MS) in operating room nurses.	MS	metabolic syndrome
[Effects of occupational nickel exposure on glycemic parameters in workers].	33287479	The serum nickel concentration, fasting blood glucose (FPG) , fasting insulin (FIns) and glycosylated hemoglobin (HbA1c) were measured in the contact group and the control group.	FIns	fasting insulin
[The levels and clinical significance of serum leptin and transforming growth factor beta1 in silicosis patients].	33287481	At the same time, the comparison and correlation analysis between groups were carried out, and the diagnostic value was judged by receive operating characteristic (ROC) curve.	ROC	receive operating characteristic
[Two cases of hypoxic encephalopathy caused by simple asphyxial gas poisoning].	33287482	This article analyzes the clinical manifestations and magnetic resonance imaging (MRI) data of 2 patients with hypoxic encephalopathy after simple asphyxia gas poisoning.	MRI	magnetic resonance imaging
[Application of a new solid adsorbent tube for the determination of three kinds of epoxy eompounds in air].	33287485	Objective: To develop a new solid sorbent tube for simultaneously capturing ethylene oxide (EO) , propylene oxide (PO) and epichlorohydrin (ECH) in air, and establish a complete set of method.	EO	ethylene oxide
[Application of a new solid adsorbent tube for the determination of three kinds of epoxy eompounds in air].	33287485	Objective: To develop a new solid sorbent tube for simultaneously capturing ethylene oxide (EO) , propylene oxide (PO) and epichlorohydrin (ECH) in air, and establish a complete set of method.	PO	propylene oxide
[Application of a new solid adsorbent tube for the determination of three kinds of epoxy eompounds in air].	33287485	Objective: To develop a new solid sorbent tube for simultaneously capturing ethylene oxide (EO) , propylene oxide (PO) and epichlorohydrin (ECH) in air, and establish a complete set of method.	ECH	epichlorohydrin
[Application of a new solid adsorbent tube for the determination of three kinds of epoxy eompounds in air].	33287485	The relative standard deviations (RSD) within the group were 1.66%-4.09%, 1.36%-4.43%, and 1.99%-5.65%, respectively, and the RSD between the group were 2.69%-4.95%, 2.77%-5.30%, and 3.27%-6.67%, respectively.	RSD	relative standard deviations
[Research progress of occupational disease assessment and application on burden of disease].	33287491	Burden of disease (BOD) refers to the pressure on the entire social economy and health caused by disease, disability and premature death, and the resulting economic and social impacts.	BOD	Burden of disease
[Clinicopathological features and differential diagnosis of eosionphilic chromophobe renal cell carcinoma].	33287507	Objective: To investigate the clinicopathological characteristics of eosionphilic Chromophobe renal cell carcinoma (eChRCC), and differences in morphology, immunophenotype and clinical prognosis betweeneChRCC, renal oncocytoma(RO) and classic Chromophobe renal cell carcinoma (cChRCC).	eChRCC	eosionphilic Chromophobe renal cell carcinoma
[Clinicopathological features and differential diagnosis of eosionphilic chromophobe renal cell carcinoma].	33287507	Objective: To investigate the clinicopathological characteristics of eosionphilic Chromophobe renal cell carcinoma (eChRCC), and differences in morphology, immunophenotype and clinical prognosis betweeneChRCC, renal oncocytoma(RO) and classic Chromophobe renal cell carcinoma (cChRCC).	cChRCC	classic Chromophobe renal cell carcinoma
[Clinicopathological features and differential diagnosis of eosionphilic chromophobe renal cell carcinoma].	33287507	Some were predominately characterized by cystic structure (3 cases), alveolar structure(1 case) and microcapsule structure (1 case).	1 case	1 case) and microcapsule structure
[Atypical renal cysts: a clinicopathological and molecular analysis of six cases].	33287508	The 3p deletion and trisomy of chromosomes 7 and 17 were detected using fluorescence in situ hybridization (FISH).	FISH	fluorescence in situ hybridization
[Clinicopathological and molecular features of biphenotypic sinonasal sarcoma].	33287510	Objective: To study the clinicopathologic features, immunophenotype, molecular genetics and differential diagnosis of biphenotypic sinonasal sarcoma (BSNS), and to evaluate the role of PAX3 and PAX8 immunohistochemical (IHC) antibodies in the diagnosis of BSNS.	BSNS	biphenotypic sinonasal sarcoma
[Clinicopathological and molecular features of biphenotypic sinonasal sarcoma].	33287510	Objective: To study the clinicopathologic features, immunophenotype, molecular genetics and differential diagnosis of biphenotypic sinonasal sarcoma (BSNS), and to evaluate the role of PAX3 and PAX8 immunohistochemical (IHC) antibodies in the diagnosis of BSNS.	IHC	immunohistochemical
[Pathological diagnosis of Danon disease by endomyocardial biopsy].	33287513	Genetic analysis identified two lysosome-associated membrane protein-2 (LAMP2) gene mutations.	LAMP2	lysosome-associated membrane protein-2
[Often misdiagnosed primary pleural epithelioid hemangioendothelioma: a clinicopathological analysis of five cases].	33287515	Objective: To investigate the clinicopathological features, diagnosis and differential diagnosis of primary pleural epithelioid hemangioendothelioma (EHE).	EHE	epithelioid hemangioendothelioma
[The value of morphological characteristics of cervical adenocarcinoma biopsy tissue in predicting tumor invasion pattern and prognosis].	33287517	The correlation between histopathologic features including necrotic tumor debris (NTD), nuclear grade, mitotic count and pattern-based classification system and the status of lymph node metastasis was evaluated.	NTD	necrotic tumor debris
Spin-Filtering Ferroelectric Tunnel Junctions as Multiferroic Synapses for Neuromorphic Computing.	33287535	As nanoelectronic synapses, memristive ferroelectric tunnel junctions (FTJs) have triggered great interest due to the potential applications in neuromorphic computing for emulating biological brains.	FTJs	ferroelectric tunnel junctions
Spin-Filtering Ferroelectric Tunnel Junctions as Multiferroic Synapses for Neuromorphic Computing.	33287535	Continuous conductance change with an ON/OFF current ratio of ∼54 400% and long-term memory with the spike-timing-dependent plasticity (STDP) of synaptic weight for Hebbian learning are achieved by controlling the polarization switching of BaTiO3.	STDP	spike-timing-dependent plasticity
Spectral Signatures of Canthaxanthin Translocation in the Orange Carotenoid Protein.	33287537	The orange carotenoid protein (OCP) is involved in the photoprotective processes in cyanobacteria via nonphotochemical quenching.	OCP	orange carotenoid protein
